cell_id,hardware,mode,world_size,phase,share_pct
55b1dd8eec170d023a51,H100,forward,4,combine,28.234136969605103
56e21c4ad1150c43bc3b,B200,forward,8,pack,3.675442200105775
56e21c4ad1150c43bc3b,B200,forward,8,dispatch,16.099674724356177
56e21c4ad1150c43bc3b,B200,forward,8,expert_compute,11.937891018666758
56e21c4ad1150c43bc3b,B200,forward,8,return,18.490051720745925
56e21c4ad1150c43bc3b,B200,forward,8,combine,49.79694033612537
5829694f27ddb424465b,A100-40GB,forward,8,pack,3.390230069036504
5829694f27ddb424465b,A100-40GB,forward,8,dispatch,20.765578906656877
5829694f27ddb424465b,A100-40GB,forward,8,expert_compute,21.869845033170773
5829694f27ddb424465b,A100-40GB,forward,8,return,20.011446859900907
5829694f27ddb424465b,A100-40GB,forward,8,combine,33.96289913123494
5892dc9f52b64d3e412f,B200,forward,4,pack,2.8841336130932005
5892dc9f52b64d3e412f,B200,forward,4,dispatch,14.585480732787744
5892dc9f52b64d3e412f,B200,forward,4,expert_compute,24.219458388716117
5892dc9f52b64d3e412f,B200,forward,4,return,17.10209195182486
5892dc9f52b64d3e412f,B200,forward,4,combine,41.20883531357808
5a0d994e7518b0833e5e,H100,forward,2,pack,4.0213782954735
5a0d994e7518b0833e5e,H100,forward,2,dispatch,16.195121756803285
5a0d994e7518b0833e5e,H100,forward,2,expert_compute,44.25652361049999
5a0d994e7518b0833e5e,H100,forward,2,return,18.495300909061385
5a0d994e7518b0833e5e,H100,forward,2,combine,17.031675428161847
5a158856f04407c1e42a,B200,training,4,pack,3.574287867247424
5a158856f04407c1e42a,B200,training,4,dispatch,19.991465279618602
5a158856f04407c1e42a,B200,training,4,expert_compute,7.142132873748983
5a158856f04407c1e42a,B200,training,4,return,20.591500524933537
5a158856f04407c1e42a,B200,training,4,combine,48.70061345445146
5b984d8c59ae74c1a44d,H100,training,8,pack,4.862650128449989
